question_id	question_text	gold_answer	reasoning_path	seed_entity	difficulty	domain
MUSIC_COMP_001	Which artist was born in Konya Province, Zulfu Livaneli or Arif Sag?	Zulfu Livaneli	Zulfu Livaneli | place of birth | ilgın | located in the administrative territorial entity | Konya Province	Zulfu Livaneli / Arif Sag	comparison	Turkish Music
MUSIC_COMP_002	Which artist was born in Erzerum (Theodosiopolis), Zulfu Livaneli or Arif Sag?	Arif Sag	Arif Sag | place of birth | Theodosiopolis (Armenia) | located in the administrative territorial entity | Erzerum (Theodosiopolis)	Zulfu Livaneli / Arif Sag	comparison	Turkish Music
MUSIC_COMP_003	Which artist was born in Konya Province, Zulfu Livaneli or ümit besen?	Zulfu Livaneli	Zulfu Livaneli | place of birth | ilgın | located in the administrative territorial entity | Konya Province	Zulfu Livaneli / ümit besen	comparison	Turkish Music
MUSIC_COMP_004	Which artist was born in Province of Osmaniye, Zulfu Livaneli or ümit besen?	ümit besen	ümit besen | place of birth | osmaniye | located in the administrative territorial entity | Province of Osmaniye	Zulfu Livaneli / ümit besen	comparison	Turkish Music
MUSIC_COMP_005	Which artist was born in Konya Province, Zulfu Livaneli or Hümeyra?	Zulfu Livaneli	Zulfu Livaneli | place of birth | ilgın | located in the administrative territorial entity | Konya Province	Zulfu Livaneli / Hümeyra	comparison	Turkish Music
MUSIC_COMP_006	Which artist was born in greater istanbul, Zulfu Livaneli or Hümeyra?	Hümeyra	Hümeyra | place of birth | istanbul (turkey) | located in the administrative territorial entity | greater istanbul	Zulfu Livaneli / Hümeyra	comparison	Turkish Music
MUSIC_COMP_007	Which artist was born in Konya Province, Zulfu Livaneli or mete özgencil?	Zulfu Livaneli	Zulfu Livaneli | place of birth | ilgın | located in the administrative territorial entity | Konya Province	Zulfu Livaneli / mete özgencil	comparison	Turkish Music
MUSIC_COMP_008	Which artist was born in greater istanbul, Zulfu Livaneli or mete özgencil?	mete özgencil	mete özgencil | place of birth | istanbul (turkey) | located in the administrative territorial entity | greater istanbul	Zulfu Livaneli / mete özgencil	comparison	Turkish Music
MUSIC_COMP_009	Which artist was born in Konya Province, Zulfu Livaneli or Sehrazat?	Zulfu Livaneli	Zulfu Livaneli | place of birth | ilgın | located in the administrative territorial entity | Konya Province	Zulfu Livaneli / Sehrazat	comparison	Turkish Music
MUSIC_COMP_010	Which artist was born in Ankara Province, Zulfu Livaneli or Sehrazat?	Sehrazat	Sehrazat | place of birth | Angora, Turkey | located in the administrative territorial entity | Ankara Province	Zulfu Livaneli / Sehrazat	comparison	Turkish Music
